trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
254,False,"{'a': 0.5, 'e': 0.23235910202965793}",30,0,-49.46681305142393,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
255,False,"{'a': 0.5, 'e': 0.2623893978125999}",20,16,7.931315735597154,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.6928958219201651}",20,1,-47.304836500259185,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
257,False,"{'a': 0.5, 'e': 0.953757183235068}",25,0,-139.726571644044,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
258,False,"{'a': 0.5, 'e': 0.9811055226493881}",25,0,-75.72529609912948,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
259,False,"{'a': 0.5, 'e': 0.7682450128678183}",30,0,-101.06552526594842,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
260,False,"{'a': 0.5, 'e': 0.3672913304546965}",30,2,-4.140411021983104,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.12358807938670624}",20,0,18.93813601174703,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
262,False,"{'a': 0.5, 'e': 0.5842088171092893}",20,15,-12.54205462078059,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.9017948614087224}",20,0,-131.38837877980606,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
264,False,"{'a': 0.5, 'e': 0.9985900724399912}",30,0,-194.97617500728754,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
265,False,"{'a': 0.5, 'e': 0.8508956066916382}",20,0,-125.70128627901178,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
266,False,"{'a': 0.5, 'e': 0.4948722204034305}",20,11,-41.785277063606905,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
267,False,"{'a': 0.5, 'e': 0.01768685528840119}",20,15,7.0405312752115945,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.4638288688518717}",25,19,13.756906521469125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.8317831092998796}",20,2,-93.33405007494169,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 2}",1
270,False,"{'a': 0.5, 'e': 0.9960878351411849}",30,0,-114.8913580652991,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
271,False,"{'a': 0.5, 'e': 0.916515519162193}",20,4,-97.3414043882054,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 1}",1
272,False,"{'a': 0.5, 'e': 0.6125482394960996}",20,10,-52.05927632680029,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.15860778743465642}",20,10,8.35565739357548,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.33416538263076073}",25,9,14.343527581849282,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.7451232126030157}",20,0,-110.68073578795517,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
276,False,"{'a': 0.5, 'e': 0.9736488930495181}",20,0,-149.81667532351776,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
277,False,"{'a': 0.5, 'e': 0.9637913672852274}",20,0,-182.4267193841445,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
278,False,"{'a': 0.5, 'e': 0.717964101410472}",25,0,-109.04653051932065,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
279,False,"{'a': 0.5, 'e': 0.2963541836370153}",25,12,18.047687205770572,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.19781357400426822}",20,11,9.915635507792286,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.6435496697397284}",30,0,-94.99800443431519,"{0: 18, 1: 6, 2: 3, 3: 3, 4: 0}",0
282,False,"{'a': 0.5, 'e': 0.9317223617435201}",30,0,-39.25729662286168,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
283,False,"{'a': 0.5, 'e': 0.9917769246391254}",20,0,-92.80340973476503,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
284,False,"{'a': 0.5, 'e': 0.8090099069535975}",20,4,-22.834491401270697,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.428169048838935}",20,0,-92.67595025093561,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
286,False,"{'a': 0.5, 'e': 0.05750252534912421}",35,13,39.839086518764844,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.529095475861036}",25,13,-34.393414418508875,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
288,False,"{'a': 0.5, 'e': 0.8711474010323434}",20,6,-65.55449108349733,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.9999120601031718}",25,0,-175.13680767209843,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
290,False,"{'a': 0.5, 'e': 0.8838633737085002}",20,0,-101.7214698480468,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
291,False,"{'a': 0.5, 'e': 0.5514141076171752}",30,0,-81.23700239380766,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
292,False,"{'a': 0.5, 'e': 0.08395943674184847}",25,18,15.26519405890047,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.40405143243560715}",20,6,-8.19352930343359,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.7931364191664784}",20,0,-200.83228593356355,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
295,False,"{'a': 0.5, 'e': 0.988033948885742}",25,0,-123.07866645652733,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
296,False,"{'a': 0.5, 'e': 0.9410263090291437}",30,0,-188.08222019693048,"{0: 13, 1: 6, 2: 9, 3: 0, 4: 2}",0
297,False,"{'a': 0.5, 'e': 0.6636226092823331}",30,0,-115.13089711768893,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
298,False,"{'a': 0.5, 'e': 0.22374095013558368}",20,16,4.35896257078962,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.2709202968427898}",35,19,10.611984810924008,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.6992508064783751}",25,14,-6.923705675294039,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.9563803314636136}",20,5,-104.95714203138392,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
302,False,"{'a': 0.5, 'e': 0.9793545963764285}",25,9,-168.74114607069563,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 3}",1
303,False,"{'a': 0.5, 'e': 0.7625486999106625}",35,0,-109.76321941213494,"{0: 23, 1: 2, 2: 9, 3: 0, 4: 1}",0
304,False,"{'a': 0.5, 'e': 0.35904428689111606}",25,11,21.978954587782837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.13236668966664739}",20,8,11.555977222621333,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.5913696841443247}",20,6,-41.92369781336336,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
307,False,"{'a': 0.5, 'e': 0.9055847552047066}",25,0,-48.210783608573315,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
